질문번호,질문,프롬프트유형,프롬프트,답변,답변길이,응답시간(s),근거포함(자동)
5,퇴직연금 상품 유형별 장단점을 정리해줘.,context,질문에 답할 때 관련 법령의 조항이나 실제 퇴직연금 약관을 근거로 삼아 구체적으로 답해줘. [질문] 퇴직연금 상품 유형별 장단점을 정리해줘.,"퇴직연금 상품은 크게 DB(정액형)와 DC(장부형)로 나눌 수 있습니다. DC는 개인의 납입금을 통해 이자 및 순자산 증가분을 이용하여 퇴직연금을 지급하는 방식으로 다시 장부형(DC)와 원리금보장형(DC월리금보장선박)으로 나뉩니다. 여기서 퇴직연금은 장부형인 DC에 해당하는 경우를 가정합니다.

1. DC (장부형) 퇴직연금 상품 유형의 장단점:

장점:
- 퇴직자 개개인의 특성과 투자성향을 반영하여 자유롭게 투자 가능
- 원금 및 수령액의 예측이 어렵지만, 투자 성과에 따라 수령액이 증가할 수 있음
- 다양한 투자 상품을 선택할 수 있어 수익률을 극대화할 수 있음

단점:
- 투자에 따라 원금 손실이 발생할 수 있음
- 수령액이 확정되어 있지 않아 불확실성 존재
- 개인의 투자 능력에 따라 수령금액이 상이하게 결정됨

퇴직연금 DC 상품은 개인의 투자성향과 목표에 맞게 다양한 투자 상품을 선택할 수 있어 수익률을 최대화할 수 있지만, 원금 손실의 위험을 안고 있고 수령액이 불확실하기 때문에 신중한 결정이 필요합니다.특히, [퇴직연금 DC 운용가이드]에서 자신의 투자성향을 고려하여 적절한 투자 상품을 선택하는 것이 중요합니다.",582,7.55,Y
6,내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? ,basic,내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? ,"DC 퇴직금 지급 신청 시에는 근로자퇴직급여보장법에 따라 IRP(Individual Retirement Pension)로 받아야 합니다. 퇴직금 인출 시 퇴직소득세가 발생하며, 실제 연금수령은 55세 이후부터 가능합니다. 퇴직소득세율에 따라 세금이 부과되며, 10년 근속 후 1억원의 퇴직금을 받을 경우에는 퇴직소득세율 4.2%가 적용될 수 있습니다. 세금에 따라 실제 수령액이 변동되므로, 세부적인 받을 수 있는 일자는 세금 및 관련 규정에 따라 상이할 수 있습니다. [근거: 퇴직연금 DC 운용가이드]",282,5.55,N
6,내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? ,role,"너는 퇴직연금 전문 상담사야. 아래 질문에 전문가답게 답해줘.
[질문]
내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? ","근속년수와 퇴직소득에 따라 DC 퇴직금을 받을 수 있는 시기가 달라집니다. 예를 들어, 10년 근속 후 1억원의 퇴직금을 수령할 경우, 퇴직소득세율이 4.2%로 적용됩니다. DC 퇴직금은 퇴직소득세를 공제한 금액으로 받을 수 있습니다. 다만, 실제 퇴직금을 받는 시기는 절차 및 회사의 정책에 따라 다를 수 있으므로 회사에 문의하여 자세한 정보를 확인하는 것이 좋습니다.",207,5.73,N
6,내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? ,fewshot,"Q: 퇴직연금이란 무엇인가요?
A: 퇴직연금은 근로자의 퇴직 후 노후를 대비해 사용되는 제도입니다.

Q: IRP와 DC형의 차이는?
A: IRP는 개인퇴직계좌로, 개인이 직접 운용하며 DC형은 회사가 납입한 금액을 근로자가 운용하는 방식입니다.

Q: 내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? 
A:","DC 퇴직금을 지급받을 수 있는 시기는 퇴직 시점에서부터 결정되며, 기업의 정책에 따라 상이할 수 있습니다. 보통 근로자가 퇴직을 신청한 후 회사에서 관련 절차를 진행하고 관련 서류 및 신청서를 접수한 이후 일정 기간 내에 지급이 이루어집니다. DC 퇴직금 지급에 대한 자세한 내용은 기업의 퇴직연금 관련 규정이나 운용가이드를 참고하시면 됩니다.",193,4.16,N
6,내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? ,cot,"내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? 
질문에 답할 때, 반드시 단계별로 생각 과정을 설명해줘.","DC 퇴직금을 받기 위한 절차는 다음과 같습니다.

1. 퇴직연금 DC 운용가이드를 참고하여 필요한 서류 및 절차 확인
   - 먼저, 퇴직연금 DC 운용가이드를 자세히 살펴봐야 합니다. 어떤 서류가 필요하고 어떤 절차를 거쳐야 하는지 확인해야 합니다.

2. DC 비밀번호 변경 및 로그인
   - 신한 SOL증권 앱 또는 홈페이지를 통해 DC 계좌에 접속하기 위해 비밀번호를 변경하고 로그인합니다.

3. 잔고 확인
   - DC 계좌에 적립된 금액과 투자 상품의 현황을 확인합니다.

4. 퇴직금 지급 신청
   - 퇴직금을 받기 위해 DC 계좌에서 퇴직금 지급을 신청합니다. 이 과정에서 추가 서류가 요구될 수 있습니다.

5. 처리 시간 및 확인
   - 신청 후 퇴직금이 지급되는데 걸리는 시간을 고려하여 처리를 기다립니다. 대부분의 경우 일정 심사 절차를 거친 후 퇴직금이 지급됩니다.

6. 퇴직금 수령
   - 퇴직금이 지급되면 DC 계좌에 적립된 퇴직금을 받을 수 있게 됩니다.

따라서, DC 퇴직금을 받기 위해서는 정확한 서류와 절차에 따라 퇴직금 지급을 신청하고, 처리 시간을 기다렸다가 퇴직금을 수령하는 과정을 거쳐야 합니다.",588,7.22,N
6,내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? ,context,질문에 답할 때 관련 법령의 조항이나 실제 퇴직연금 약관을 근거로 삼아 구체적으로 답해줘. [질문] 내가 dc 퇴직금 지급 신청하면 언제쯤 받을 수 있어? ,"퇴직연금 DC(DC: Defined Contribution)에서는 퇴직금을 지급받기 위해 신청한 경우, 보통 해당 금액을 퇴직 시 일시금 또는 연금으로 받을 수 있습니다. 이때, 퇴직금을 신청하고 나서 언제 지급받을 수 있는지에 대한 구체적인 내용은 퇴직연금 DC 운용가이드나 관련 법령의 규정에 따라 다를 수 있습니다. 일반적으로 퇴직금을 지급받는 시기는 퇴직금 지급 신청 후 회사나 금융기관의 처리와 절차에 따라 다를 수 있습니다. 이에 따라 정확한 지급 일정은 해당 기관이나 회사에 문의하여 확인하는 것이 좋습니다. [근거] 퇴직연금 DC 운용가이드 페이지에 명시된 내용을 참고하여 답변드립니다.",336,5.13,Y
7,실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? ,basic,실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? ,"만약 실물이전으로 신청한 상품 중 일부가 실물이전이 불가능한 경우, 실물이전 신청은 전부 취소되며, 해당 상품들은 계속해서 기존 방식으로 유지될 것입니다. [근거] 이관회사가 실물이전을 청구하면 상품제공기관은 거절할 수 없으며, 정당하지 않은 실물이전 청구나 불가능한 경우에만 거부할 수 있습니다.",166,4.85,N
7,실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? ,role,"너는 퇴직연금 전문 상담사야. 아래 질문에 전문가답게 답해줘.
[질문]
실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? ","실물이전으로 신청했는데 실물이전 불가한 상품을 일부 보유하고 있는 경우, 해당 상품은 실물이전이 이뤄지지 않습니다. 따라서, 이뤄진 실물이전은 해당 상품을 제외한 다른 상품에 대해서만 처리됩니다. 이는 보유하는 모든 상품이 실물이전 가능한 것으로 가정되는 것이 아닌, 각 상품의 실물이전 가능 여부에 따라 처리되는 점을 고려해야 합니다. 만약 실물이전 불가한 상품이 있을 경우, 해당 상품은 기존 상태로 유지되며, 실물이전 대상에서 제외됩니다.",248,5.45,N
7,실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? ,fewshot,"Q: 퇴직연금이란 무엇인가요?
A: 퇴직연금은 근로자의 퇴직 후 노후를 대비해 사용되는 제도입니다.

Q: IRP와 DC형의 차이는?
A: IRP는 개인퇴직계좌로, 개인이 직접 운용하며 DC형은 회사가 납입한 금액을 근로자가 운용하는 방식입니다.

Q: 실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? 
A:","실물이전이 불가한 상품을 보유하고 있다면, 해당 상품에 대해서는 매도하여 현금으로 이전하게 됩니다. 즉, 실물이전 대상이 아닌 상품은 현금으로 처리되며, 다른 상품들은 실물 그대로 이전될 수 있습니다. [근거] 고용노동부 유권해석에 따르면 실물이전이 불가능한 상품들은 매도되어 현금으로 이전되게 됩니다.",169,6.87,N
7,실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? ,cot,"실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? 
질문에 답할 때, 반드시 단계별로 생각 과정을 설명해줘.","실물이전으로 신청하였을 때 일부 보유하고 있는 상품이 실물이전 불가 상품일 경우에 대한 처리과정을 단계별로 설명해드리겠습니다.

1. 상품별 실물이전 가능여부 확인
   - 먼저, 이관회사나 수관회사의 실물이전 가능여부 조회 서비스를 통해 현재 보유하고 있는 상품들의 실물이전 가능 여부를 확인합니다.
   - 보유하고 있는 모든 상품에 대해 조회하여 각 상품이 실물이전 가능한지 여부를 확인합니다.

2. 실물이전 불가한 상품 확인
   - 조회 결과, 일부 보유하고 있는 상품이 실물이전 불가 상품으로 판별된다면 해당 상품을 식별합니다.
   - 어떤 이유로 해당 상품이 실물이전 불가로 판단되었는지 확인합니다.

3. 실물이전 불가 상품의 처리 방안 결정
   - 실물이전 불가한 상품이 일부 포함되어 있다면, 가입자는 지정한 상품을 제외하고 나머지 상품들만 실물이전을 진행할 수 있습니다.
   - 게금회사의 정책에 따라 전체 상품을 실물이전하거나, 실물이전 불가 상품을 포함시키지 않고 실물이전을 주문하게 됩니다.

4. 나머지 상품에 대한 실물이전 진행
   - 실물이전이 가능한 상품들로만 실물이전을 진행합니다.
   - 이를 통해 실물이전 불가 상품이 포함된 전체 자산을 다른 방법으로 관리할 수 있도록 합니다.

이와 같이, 실물이전으로 신청하였을 때 일부 상품이 실물이전 불가 상품인 경우에는 해당 상품을 제외하고 실물이전을 진행하거나 다른 대안을 찾아내야 합니다.",718,7.74,N
7,실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? ,context,질문에 답할 때 관련 법령의 조항이나 실제 퇴직연금 약관을 근거로 삼아 구체적으로 답해줘. [질문] 실물이전으로 신청했는데 만약 실물이전 불가한 상품을 일부 보유하고 있으면 어떻게해? ,"실물이전으로 신청하고자 하는 경우, 실물이전 불가능한 상품을 일부 보유하고 있을 경우 일반적으로 해당 상품은 실물이전이 진행되지 않습니다. 이는 실물이전은 전체 상품을 이전하는 것으로 보기 때문입니다. 따라서, 실물이전을 진행하고자 하는 경우 일부 상품은 별도로 처리하여야 합니다.

또한, 실물이전 가능여부는 사전조회를 통해 확인할 수 있으며, 이를 통해 원하는 상품이 실물이전 가능한지 여부를 미리 파악하는 것이 중요합니다. 만약 일부 상품이 실물이전이 불가능한 상태라면, 해당 상품은 실물이전 과정에서 제외되어야 합니다. 

따라서, 실물이전을 희망하는 경우 자세한 상황은 당사의 규정 및 상담을 통해 적합한 조치를 취하는 것이 바람직합니다.",362,5.45,Y
8,신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?,basic,신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?,"신한은행에 퇴직연금 ETF 종류는 제공된 정보에서는 명시되어 있지 않습니다. 퇴직연금 ETF 종류에 대한 정보는 신한은행의 공식 웹사이트나 직접 상담을 통해 확인하셔야 합니다. 또한, [근거]에서 제공된 정보에는 ETF 보수 등 별도 발생 가능한 사항이 언급되어 있으니 이 점 역시 유념하시길 바랍니다.",169,4.5,N
8,신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?,role,"너는 퇴직연금 전문 상담사야. 아래 질문에 전문가답게 답해줘.
[질문]
신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?","신한은행에서 퇴직연금 ETF 종류는 다양하게 제공됩니다. 주로 KODEX, TIGER, KBSTAR 등 다양한 브랜드의 ETF 상품이 있으며, 각 상품은 다양한 테마와 지수를 기반으로 운용되고 있습니다. 퇴직연금 ETF 투자 시에는 자신의 투자 성향과 목표에 맞는 상품을 신중히 선택하여 투자하시는 것이 중요합니다.더 자세한 정보는 신한은행의 온라인 퇴직연금 관련 화면이나 관련 가이드를 참고하시면 도움이 될 것입니다.",234,5.27,N
8,신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?,fewshot,"Q: 퇴직연금이란 무엇인가요?
A: 퇴직연금은 근로자의 퇴직 후 노후를 대비해 사용되는 제도입니다.

Q: IRP와 DC형의 차이는?
A: IRP는 개인퇴직계좌로, 개인이 직접 운용하며 DC형은 회사가 납입한 금액을 근로자가 운용하는 방식입니다.

Q: 신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?
A:",신한은행 퇴직연금 ETF 종류는 현재 제공된 근거에서 확인할 수 없습니다. 신한은행에서 제공하는 퇴직연금 ETF 종류에 대한 정보는 신한은행의 공식 웹사이트나 고객센터를 통해 확인하실 수 있습니다. 현재 제공된 정보에는 신한은행에 있는 퇴직연금 ETF 종류에 대한 내용이 언급되어 있지 않습니다.,165,5.32,N
8,신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?,cot,"신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?
질문에 답할 때, 반드시 단계별로 생각 과정을 설명해줘.","신한은행에 있는 퇴직연금 ETF 종류를 알아보기 위해 다음과 같은 단계로 생각해볼 수 있습니다.

1. 단계: 퇴직연금 상품 중 ETF 관련 정보를 확인
   - [근거] 퇴직연금 DC 운용가이드에 ETF/리츠 상품매수에 관한 내용이 있습니다. 
   - ETF/리츠 주문하고 매매내역 조회하는 방법을 확인할 수 있습니다.

2. 단계: ETF/리츠 상품매수 메뉴에서 종목 확인
   - ETF/리츠 주문하는 화면에서 안전자산 확인을 통해 퇴직연금 ETF 종목을 확인할 수 있습니다.

3. 단계: 신한은행의 공식 사이트나 전문가 리서치 자료 확인
   - [근거] 퇴직연금 DC 운용가이드에는 신한리서치나 Fn가이드를 통해 최신 ETF 투자정보를 확인할 수 있다고 나와 있습니다.
   - 신한투자증권의 퇴직연금 투자정보나 리서치 자료를 통해 신한은행에 있는 퇴직연금 ETF 종류를 확인할 수 있습니다.

이러한 절차를 통해 신한은행에 있는 퇴직연금 ETF 종류에 대해 자세히 알아볼 수 있습니다.",503,8.15,N
8,신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?,context,질문에 답할 때 관련 법령의 조항이나 실제 퇴직연금 약관을 근거로 삼아 구체적으로 답해줘. [질문] 신한은행에 있는 퇴직연금 etf 종류 좀 알 수 있을까?,"신한은행의 퇴직연금 ETF 종류는 다양하게 있을 수 있습니다. 퇴직연금 DC 운용가이드에 따르면, 퇴직연금 ETF/리츠 상품매수를 위해 연금/ISA → 퇴직연금/IRP → ETF/리츠 주문으로 이동하여 해당 상품을 확인하실 수 있습니다. 또한, ETF 투자 정보를 검색할 수 있는 신한 SOL증권 퇴직연금 고객전용 Fn 가이드 메뉴에서도 최신 ETF 투자 정보를 확인하실 수 있습니다. 따라서, 신한은행에서 제공하는 퇴직연금 ETF 종류를 확인하고 싶다면 해당 메뉴를 참고하시면 됩니다.",272,5.02,Y
9,현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?,basic,현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?,"예, 현재 DC에 있는 ETF를 퇴직할 때 IRP로 실물이전이 가능합니다. 실물이전이란, 퇴직 시 DC에서 운용 중인 상품(예를 들어 ETF)을 중도해지하지 않고 IRP 계좌에 그대로 이전하여 운용하는 제도입니다. 따라서, 퇴직 시 DC에 있는 ETF를 IRP로 실물이전하여 계속 보유하실 수 있습니다. [근거] '확정기여형(DC) 제도 퇴직시 프로세스'와 '퇴직연금 DC 운용가이드'를 참고하였습니다.",225,4.59,N
9,현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?,role,"너는 퇴직연금 전문 상담사야. 아래 질문에 전문가답게 답해줘.
[질문]
현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?","실물이전은 퇴직연금 중 일부 상품(펀드/ETF/예금 등)을 중도해지하지 않고 새로운 계좌로 그대로 이전하는 제도를 말합니다. 따라서, 현재 DC에 있는 ETF를 퇴직할 때 해당 ETF를 IRP로 실물이전하여 이전할 수 있습니다. [근거] ""IRP 계좌로 퇴직금 지급(실물이전 가능)""에 따르면 실물이전을 통해 퇴직금을 IRP 계좌로 이체할 수 있으며, 이때 실물이전이 불가능한 경우에는 해당 상품을 매도하여 이전됩니다.",234,5.74,N
9,현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?,fewshot,"Q: 퇴직연금이란 무엇인가요?
A: 퇴직연금은 근로자의 퇴직 후 노후를 대비해 사용되는 제도입니다.

Q: IRP와 DC형의 차이는?
A: IRP는 개인퇴직계좌로, 개인이 직접 운용하며 DC형은 회사가 납입한 금액을 근로자가 운용하는 방식입니다.

Q: 현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?
A:","퇴직연금 DC에서 보유하고 있는 ETF를 IRP로 실물이전하는 것은 일반적으로 어렵습니다. IRA는 DC에 포함되어 있는 경우에도 종전의 계획이나 자금을 그대로 유지하거나 이체하도록 허용되지 않을 수 있습니다. [근거] 퇴직연금 운용가이드를 살펴본 결과, 퇴직연금 제도는 보험사 및 증권사가 별도 관리하며, ETF 등의 자산을 이동하기 위해서는 해당 제도의 조건과 규정을 따라야 합니다.",216,5.5,N
9,현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?,cot,"현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?
질문에 답할 때, 반드시 단계별로 생각 과정을 설명해줘.","고객님께서 DC에 있는 ETF를 퇴직할 때 IRP로 실물이전할 수 있는지 확인하기 위해 다음과 같은 단계별 과정을 따라봐야 합니다.

1. 퇴직연금 규정 확인:
가장 먼저 해야 할 일은 고객님의 속한 퇴직연금제도(확정기여형 DC)의 규정을 확인하는 것입니다. 규정에 따라 실물이전이 허용되는 경우와 그 대상이 무엇인지 파악해야 합니다.

2. ETF 종류 확인:
고객님의 DC에 투자되어 있는 ETF가 IRP로 실물이전 가능한 안전자산에 해당하는지 확인해야 합니다. 금융회사에서 제공하는 ETF/리츠 상품매수 메뉴를 통해 확인할 수 있습니다. 

3. IRP로의 이전 가능 여부 확인:
IRP로 실물이전이 가능한지 확인하기 위해서는 퇴직연금 DC 운용가이드를 참고해야 합니다. DC와 IRP 사업자가 동일한 경우에만 실물이전이 가능한 경우가 있으므로 먼저 해당 사항을 확인해야 합니다.

4. 퇴직연금사업자 상담:
모든 절차를 거친 뒤에도 의문이 남는다면 고객님의 퇴직연금사업자에게 직접 상담을 요청하여 확인해보는 것이 좋습니다. 상황에 따라 실물이전이 가능한지 여부를 확실하게 파악할 수 있습니다.

위의 단계를 차례로 따라가면서 고객님의 ETF를 퇴직할 때 IRP로 실물이전할 수 있는지에 대한 답을 찾아보시기 바랍니다.",629,10.13,N
9,현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?,context,질문에 답할 때 관련 법령의 조항이나 실제 퇴직연금 약관을 근거로 삼아 구체적으로 답해줘. [질문] 현재 dc에 있는 etf를 퇴직할 때 irp로 실물이전 할 수 있어?,"네, 현재 DC(확정기여형)에 있는 ETF를 퇴직할 때 IRP(퇴직연금저축)로 실물이전이 가능합니다. 퇴직급여법에 따라 DC가입자가 퇴직 시 ETF를 IRP로 실물이전할 수 있습니다. 다만, 실물이전이 불가능한 상품은 매도하여 이전될 수 있고, 이때 중도해지이율이 적용될 수 있습니다. 따라서 ETF를 IRP로 실물이전하기 위해서는 해당 DC와 IRP의 운용사가 동일한 경우 가능합니다.",216,4.25,Y
10,"퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? ",basic,"퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? ",퇴직연금 중도인출을 받아 주택구입자금으로 사용하려면 주택을 꼭 사용자 본인의 명의로 구매해야 합니다. 중도인출은 무주택자가 주택을 구입하거나 부양가족을 요양하는 경우 등 특정 사유에 따라 퇴직연금을 일정한 한도 내에서 빼내는 것을 허용하고 있습니다. 그러나 이를 활용하기 위해서는 주택을 본인 명의로 구매하여 사용해야 합니다.,182,4.57,N
10,"퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? ",role,"너는 퇴직연금 전문 상담사야. 아래 질문에 전문가답게 답해줘.
[질문]
퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? ","네, 퇴직연금 중도인출을 받아 주택 구입자금으로 사용하기 위해서는 주택을 본인 명의로 구입해야 합니다. 퇴직연금 중도인출을 위한 조건 중 하나로 노동부가 정하는 사유와 요건을 충족해야 하는데, 무주택자가 주택을 구입하는 경우가 해당 사유 중 하나입니다. 따라서 주택을 본인 명의로 구입하는 것이 중요합니다.",171,4.24,N
10,"퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? ",fewshot,"Q: 퇴직연금이란 무엇인가요?
A: 퇴직연금은 근로자의 퇴직 후 노후를 대비해 사용되는 제도입니다.

Q: IRP와 DC형의 차이는?
A: IRP는 개인퇴직계좌로, 개인이 직접 운용하며 DC형은 회사가 납입한 금액을 근로자가 운용하는 방식입니다.

Q: 퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? 
A:","퇴직연금 중도인출은 일반적으로 퇴직 시까지 계좌 상태를 유지하는 것이 원칙이며, 주택구입자금으로 사용하기 위해선 퇴직연금을 인출할 때 주택구입자금으로 사용한다는 목적을 명시해야 합니다. 주택을 꼭 본인 명의로 사야하는지 여부는 해당 정보로는 정확히 판단할 수 없습니다. 자세한 정보는 관련 법규와 조건을 확인하셔야 합니다.",180,3.95,N
10,"퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? ",cot,"퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? 
질문에 답할 때, 반드시 단계별로 생각 과정을 설명해줘.","먼저, 중도인출 가능 여부를 판단하기 위해서는 다음과 같은 단계를 고려해야 합니다.

1. 개인의 주거 상황을 고려합니다.
   - 현재 당신은 무주택자인 것으로 나와 있습니다. 무주택자가 중도인출을 받기 위해서는 주택을 구입한 후 주택구입자금으로 사용할 예정이어야 합니다.
   - 주택을 내 명의로 구입했는지 여부는 중요한 요소입니다. 중도인출을 받기 위해서는 주택이 당신의 명의로 구입된 것이어야 합니다.

2. 중도인출 심사 기준을 확인합니다.
   - 중도인출은 주택 구입, 부양가족 요양, 천재·사변 등 노동부령이 정하는 사유 등에 한하여 가능합니다.
   - 현재 상황에서 주택 구입자금으로 필요한 경우, 이러한 목적으로 중도인출을 신청할 수 있습니다.

3. 중도인출 한도를 고려합니다.
   - 중도인출은 적립금의 일정한 한도 내에서 이루어집니다.
   - 노동부장관이 별도로 정하여 고시하는 한도까지 중도인출이 가능합니다.

따라서, 주택 구입자금으로 중도인출을 받으려면 무주택자이며, 주택을 꼭 당신의 명의로 구입해야 합니다. 또한, 중도인출 심사 기준과 한도를 고려하여 신청하시면 됩니다.",565,6.78,N
10,"퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? ",context,"질문에 답할 때 관련 법령의 조항이나 실제 퇴직연금 약관을 근거로 삼아 구체적으로 답해줘. [질문] 퇴직연금 중도인출 관련해서, 나는 현재 무주택자이고, 주택구입자금용으로 받으려면 주택을 꼭 내 명의로 사야해? ","퇴직연금 중도인출 관련하여 무주택자가 주택구입자금용으로 중도인출을 받기 위해서 주택을 꼭 본인의 명의로 살 필요는 없습니다. 중도인출 가능 여부 및 절차는 해당 퇴직연금 계획의 운영규정이나 관련 법령에 근거하여 결정되므로, 주택구입자금으로의 중도인출이 가능한지에 대해서는 해당 계획의 서류나 이에 대한 상담을 통해 자세한 내용을 확인해야 합니다. 또한, 중도인출 시에는 해당 계획이 요구하는 법적인 요건을 충족시켜야 하며, 주택구입자금으로 사용하기 위해 중도인출 신청 시에는 구체적인 사용목적을 명시해야 할 수 있습니다.",291,5.07,Y
