구 분,용 어,설 명
170,연금계리평가,연금부채에 대한 연금자산의 지급능력 또는 미래의 적립상황 등을 파악하기 위해 연금계리사에 의해 정기적으로 실시되는 평가
171,연금계산이율,연금지급률 계산시 적용되는 이율로 기업 또는 금융기관이 퇴직연금 수급자에게 보증하는 이율
172,연금보험계약,퇴직연령에 도달하거나 연금제도에서 조기 탈퇴하는 경우 가입자에게 연금급여를 지급하는 보험계약. 대부분의 국가에서는 연금제도가 펀드형태에 편중되어 운영되는 것에 대해 일정한 제한을 설정하고 있으며 일부 국가에서는 보험계약이 연금제도의 한 형태로 간주되기도 함
173,연금사망률,연금지급에 사용되는 사망률로서 다른 사망률보다 낮은 상태임
174,연금수령자,"현재 연금형태의 급여를 지급받고 있거나, 미래에 정상적으로 지급받게 될 사람"
175,연금자산,연금제도에 관련된 모든 형태의 투자가치
176,연금자산이전,"기업이 복수의 자산관리기관에 자산관리업무를 위탁할 경우, 기업으로부터의 요청에 의하여 자산관리기관간 퇴직연금 자산을 이전하는 업무"
177,연금제도,"퇴직에 대한 명확한 목적 하에 법적 구속력을 지닌 계약. 여기에서 퇴직에 대한 명확한 목적이라 함은 수급자가 법적으로 규정된 퇴직연령에 도달하기 전에는 연금급여가 전혀 지급되지 않거나 지급되더라도 상당한 불이익을 부담하도록 함으로써 관련 세제와 규정을 충족시키는 것을 의미함. 이러한 계약은 보다 넓은 의미에서 근로계약의 일부가 될 수도 있으며, 연금규약 및 법에 의해 강제되기도 함. 또한, 퇴직이라는 목적 외에 사고, 질병 등에 대해 추가적으로 연금을 지급하는 것도 가능"
178,연금지급율,연금수령자의 사망 또는 실현가능 투자수익 등 여러 요소들을 반영한 연금급여액으로서 연금급여 수령 기간 동안 연속적으로 지급되는 일정 단위가치들의 현재가치
179,연금펀드,"연금급여 지급을 위한 재원조달이라는 특정 목적을 가지고 있는 독립된 실체로서 적립된 부담금으로 구매된 자산들의 집합체. 연금펀드 가입자는 해당 자산에 대한 법적 청구권이나 급여 수급권을 소유하게 됨. 연금펀드는 법인격 있는 특수목적실체(신탁, 조합, 기업 등) 또는 법인격 없는 별도의 펀드, 가입자를 대신하는 다른 재무기구의 형태 등을 취하게 됨"
180,연금펀드관리,연금펀드를 운영하고 감독하는 것
181,연금펀드관리자,연금펀드 운영과 관리를 담당하는 자
182,연령,수급권에서 연령은 수급자격이 되는 연령
183,연미만 근속년수(연/반기/월/일할),1년 미만의 개월 수에 대한 퇴직금지급 처리방식 / 연미만 근속년수(연) + 반올림 : 6개월 이상의 근속기간을 년 절상 / 연미만 근속년수(반기) + 반올림 : 3개월 이상의 근속기간을 반기 절상 / 연미만 근속년수(월) + 반올림 : 15일 이상 재직자 근속년수 월 절상 / 일할 : 해당일까지 일자로 산출하여 계산
184,연생연금,부부를 동시에 보장해주는 연금제도
185,연시퇴직,퇴직률 적용 시 퇴직시기를 기간이 시작되는 초에 퇴직 하는 것으로 가정하여 산출 ->급여의 적용은 연초의 급여를 적용
186,연중납입,최소보장형/승진보상형/CBP 산출 시 납입시기를 연중으로 하여 산출하는 기준
187,연중퇴직,"퇴직률 적용 시 퇴직시기를 기간 중간에 퇴직 하는 것으로 가정하여 산출. ->현가 산출 시 연초퇴직보다 반년의 현가를 더 적용 (단, 급여적용도 연중의 급여를 적용) "
188,연차별상각,DC형에서 일시에 과거근무채무를 전체 납입하기가 어려운 상태일 때 매년 1년씩 가입기간을 확장하는 형태로 일정기간이 되면 과거기간 전체를 가입처리 하는 방법
189,연초납입,최소보장형/승진보상형/CBP 산출 시 납입시기를 연초로 하여 산출하는 기준
190,연합형,다수기업이 하나의 연합으로 구성하여 가입하는 형태의 퇴직연금으로 향후 개정법안(2009년 시행예정) 에서는 확정기여형(DC)만 가입을 허용하고 DB형(적격연금은 허용하지 않음)은 추후 도입 할 것으로 예상
191,예금,은행 등 금융기관이 불특정다수인으로부터 그 보관과 운용을 위탁받은 자금. 예금주의 요구가 있으면 언제라도 지급에 응해야 하는 요구불예금과 일정기간 경과 후 지급되는 저축성예금으로 구분됨
192,예금자보호제도,예금자보호제도란 예금보험공사에서 금융기관 등으로부터 미리 예금보험료를 납부받아 예금보험기금으로 적립해 두었다가 금융기관의 경영악화나 파산 등의 사유로 예금을 지급할 수 없는 경우 해당 금융기관을 대신하여 예금자에게 일정 한도 내에서 예금지급을 보장함으로 예금자를 보호하는 제도
193,예상추계액,"차년도에 예상되는 퇴직금추계액을 기입, 임원 또는 촉탁근로자인 경우만 필수 작성함"
194,예정사망율,"연령별, 성별로 향후 1년간에 사망 확률을 정해 놓은 것"
195,예정승급률 (Assumed salary scale),퇴직급여가 장래 기준급여의 비례인 경우 근로자의 기준급여가 어느 정도의 율로 증가할 것인가를 계수화한 것. 근로자 300인 이상 기업에 적용하는 경험승급률과 근로자 300인미만 기업에 적용하는 참조승급률이 있음.
196,예정퇴직률,연령별로 향후 1년간에 퇴직할 수 있는 퇴직 확률을 미리 산정한 것. 근로자 300인 이상 기업에 적용하는 경험 퇴직률과 근로자 300인 미만 기업에 적용하는 참조 퇴직률이 있음
197,예측급여부채,장래의 급여수준을 기준으로 연금산식에 따라 산출한 연금급여액의 현재가치로서 기준일 현재의 기 발생 연금급여액과 미래의 근로기간을 감안하여 추가적으로 계산한 미래 연금급여액의 누적금액
198,예측년수,"Projection을 처리 할 기간 기간으로, 제도설립일로부터 산출할 기간"
199,예측단위적립방식(PUC)(예측급부채무),"현 가입자의 총 근무기간중의 급부현가를 총 근무연수에 대한 해당근무기간까지의 비율로 산출한 책임준비금. 가입자 퇴직시의 예상급여를 각 가입연도에 대응하는 단위로 분할, 할당하고 각 단위의 현가 상당액을 가입기간 중의 각 연도에 표준 부담금으로 납입하는 방식. 급여 인상률을 반영하여 퇴직시의 급여를 적용함. 개인별로 임금상승분(승급률과 Base_Up율)을 포함하여 산출된 장래 퇴직급여 예상액의 현재가치를 UNIT(근속년수/지급률)로 나누어 산출 하는 방식 (PBO 산출 시 적용)"
200,외부적립퇴직연금,연금부채의 지급을 이행하기 위한 연금자산을 기업외부에 적립하고 있는 퇴직연금
201,외화예금,외화로 예금하고 외화로 인출하는 예금제도
202,요구수익률,"투자자가 요구하는 최소한의 수익률, 혹은 기업의 투자결정에 있어 어떤 투자안이 받아들여지기 위해서 이 투자안이 벌어들여야 하는 최소한의 수익률"
203,운용관리계약이전,현재의 운용관리계약을 해지하고 다른 운용관리계약으로 이전하는 것으로 전부이전과 일부이전이 있음
204,운용관리계약이전 일부이전,"A사가 B은행, D보험사와 복수의 운용관리계약을 맺은 상황에서 B은행과 D보험사간 일부 가입자의 이전"
205,운용관리계약이전 전부이전,"A사가 B은행과의 DB형 운용관리계약 전부를 C은행으로 이전하여 DB형 또는 DC형 운용관리계약을 체결함(제도변경, 제도유지 모두 해당)"
206,운용관리기관 ,"사용자나 근로자에게 적립금 운용방법을 제시하고, 적립금 운용현황의 기록, 보관, 통지 및 사용자 또는 가입자의 운용지시를 자산관리기관에 전달하는 업무를 수행하는 기관"
207,운용비율변경,신규 부담금의 운용상품 종류 및 운용비율을 변경하는 것
208,운용지시,"가입자 또는 사용자가 적립금의 운용방법을 선택하고, 각각의 운용방법에 따른 액수를 결정하는 행위"
209,원리금,원금과 이자의 합계
210,원리금보장,원금과 이자를 특정 이율로 만기시 보장하는 것
211,위험허용도,투자자들의 투자가치의 변동에 대해 감수할 수 있는 정도를 뜻하며 일반적으로 고객들의 투자성향을 나타냄
212,유동성,화폐 이외의 자산이 가치의 손실 없이 화폐로 전환될 수 있는 가능성. 유가증권
213,이익잉여금으로 발생즉시인식,보험수리적 손익을 기타포괄손익으로 처리하여 이익잉여금으로 인식하고 이후 당기 손익으로는 처리하지 않는 방식
214,이자수익,연금자산이 운용되어 순수 이자부분에 해당하는 금액
215,이자원가,기초 확정급여채무(PBO)가 기말에 이자가 발생하여 증가하는 채무를 계산한 금액으로 부담금산출 시 사용한 할인율(시산이율)을 적용하여 산출
216,인덱스펀드(index fund),종합주가지수 등 특정 지수 구성과 비슷한 포트폴리오를 구성하여 지수와 유사한 수익률을 달성하도록 운용하는 펀드
217,일시금,"급여 형태 중 하나. 일정조건을 충족한 가입자 및 수환자, 유족 등이 급여의 전부 또는 일부를 받을 수 있음"
218,일시상각,과거근무채무를 일시에 납입하는 방식
219,일시전환금액,퇴직연금제도를 설립하기 전에 사내에 유보되어 있는 퇴직급여충당금이 아닌 이미 외부에 적립되어 운용되어지던 금액으로 과거근무기간에 대한 퇴직금을 부담금 중에 과거근무채무에서 공제하고 부담금을 계산 ->상기의 퇴직보험(신탁)예치금도 이것에 해당하는 금액 임
220,임금상승률(Base_Up),기업의 노사협상에 의해 임금인상이 일어나는 부분으로 대부분 물가상승률과 비슷한 수준에서 율 적용
221,임금채권보장기금제도,"국내 중소 업체에서 근무하는 근로자의 퇴직금과 급여 보장의 안정성을 도모하기 위해 국가에서 시행하는 법으로, 도산(부도) 또는 파산한 기업에서 퇴직한 근로자들의 최소한의 생활안정을 위해 체불 된 퇴직 전의 3개월 분 임금(휴업수당 포함) 및 3년분 퇴직금을 기업의 부담금(보험료) 등으로 조성한 “임금채권보장기금(국가)”에서 지급하는 제도"
222,임원 명부,임원계약을 산출하기 위해 작성하는 명부로 종업원 명부와 동일하나 예상추계액을 추가함
223,임의개인연금제도,개인이 자발적으로 가입할 수 있는 연금제도로서 법률로 강제되어 있지 않음. 가입한 개인은 연금제도에 대한 부담금 납입의무가 없음. 개인이 사회보장제도의 일부를 대체하는 개인연금제도를 선택하는 경우 가입이 의무화되더라도 임의개인연금제도에 해당
224,임의기업연금제도,사업자에 의해 자발적으로 설립된 연금제도(연금가입이 고용계약의 일부나 법에 의해 강제되어도 무방함). 일부 국가에서는 사회보장제도를 부분적으로 대체하는 경우에 한해 임의기업연금제도의 설립을 허용. 이러한 연금제도는 사회보장제도에 대한 부담금 납부의무를 면제받기 위해 사용자에게 지속적인 관리의무가 부여되더라도 임의기업연금제도로 분류됨
225,임의부담금,미래의 연금급여액을 증가시키기 위해 가입자가 강제부담금 외에 추가적으로 납부하는 부담금
226,자산관리 계약이전,현재 자산관리계약을 해지하고 다른 자산관리계약으로 이전하는 것으로 전부이전과 일부이전이 있음
227,자산관리 계약이전 일부이전,A사가 B은행 및 D보험사와 복수의 자산관리계약을 맺은 상황에서 B은행과 D보험사간에 일부 적립금의 이전이 발생하는 것
228,자산관리 계약이전 전부이전,"A사가 B은행과의 DB형 자산관리계약 전부를 C은행으로 이전하여 DB형 또는 DC형 자산관리계약을 체결하는 것(제도변경, 제도유지 모두 해당)"
229,자산관리기관,"퇴직연금에 있어 퇴직연금계좌의 설정 및 관리, 부담금 수령, 적립금의 보관과 관리, 기록관리기관에서 전달받은 운용지시의 이행 및 급여지급 등의 업무를 맡는 퇴직연금사업자"
230,자산배분,포트폴리오에 관한 의사결정에 있어서 여러 가지 유형의 투자대상 중 각각에 얼마를 투자하여 분산시킬 것인가를 결정하는 것
231,장래기대근속년수(FWLT),현재 근무하는 직원이 회사별 퇴직률과 사망률을 감안할 때 미래에 얼마나 근무 할 수 있는지 기대되는 근속년수 FWLT : Future Working Life Time
232,장래퇴직급여의 현가,근로자가 퇴직시 지급해야 하는 퇴직급여의 현재가치액
233,장래퇴직급여의 현재가치(PVFB),"장래에 퇴직하여 지급 할 퇴직급여의 현재가치로서, 산출 당시 근무하는 직원이 전체 퇴직 할 때까지 필요한 금액을 산출하는 당시 시점으로 환산한 총 금액. PVFB : Present Value of Future Benefit"
234,장부상적립제도,"연금급여의 지급을 위해 사용자의 재무제표(대차대조표)에 충당금 또는 준비금 형태로 적립하는 제도 장부상 적립한 자산을 별도계정으로 운영할 수 있으나, 반드시 법적으로 강제되는 것은 아님. 대부분의 OECD 회원국은 이러한 제도를 금지하고 있음"
235,재간접투자기구,다른 간접투자기구가 발행한 간접투자증권에 간접투자재산의 100분의 40을 초과하여 대통령령이 정하는 비율 이상을 투자하는 간접투자기구
236,재계산,퇴직연금제도를 운용함에 있어 장래 연금재정의 균형과 재정건전성을 유지하기 위해서는 정기적으로 또는 필요에 따라 기초율을 재산출하여 부담금을 개정하는 것
237,재산출,부담금 산출시 적용하는 기준율을 변경하여 향후 납입하는 부담금을 조정함으로써 부담금 납입이 수긍이 가도록 계속해서 재산출하는 것을 말함
238,재정검증,확정급여형(DB) 퇴직연금제도의 적립금이 법에서 정한 수준 이상으로 적립되고 있는지 매 사업년도 말 검증하는 것. 향후에 퇴직급여가 무리없이 지급될 수 있도록 적립금의 건전성을 확인하고 보완하는 것이 목적임
239,재정결산,연금 재정에 관하여 정기적으로 실행되는 결산을 말하며 해당 시점의 연금자산과 책임준비금을 비교 대조하고 잉여 또는 부족을 확정하여 연금 재정의 추이상황을 명백하게 하는 것
240,재정방식(funding method),"DB형 제도운영에 있어 약속한 퇴직급여를 지급하는데 부족함이 없도록 합리적이고 과학적으로 재원을 준비하는 방법 ex) PUC방식, 특정연령방식 등"
241,저당권,채권자가 채무자 또는 제3자(物上保證人)로부터 점유를 옮기지 않고 그 채권의 담보로 제공된 목적물
242,적금,"일정 금액을 계약하고, 일정기간 매월 일정액을 불입하여 기간 만료 후에 계약금액을 환불받는 예금제도"
243,적립,연금급여를 지급하기 위해 연금자산을 외부 금융기관에 위탁하여 운영하는 행위
244,적립금,가입자의 퇴직 등 지급사유가 발생한 때에 급여의 지급을 위하여 사용자 또는 가입자가 납입한 부담금으로 적립된 자금
245,적립기준,연금부채와 관련하여 연금자산을 일정수준 이상으로 유지할 것을 의무화한 기준
246,적립률,"적립률 = 연금자산 ÷ 양 부채 중 큰 금액 × 100, 양 부채 중 큰 금액 = Max(계속기준부채,비계속기준부채)"
247,적립방식,"퇴직연금 및 개인연금 등 사적 연금에서 주로 쓰이는 방식으로 근로세대는 임금 및 소득 중 일부를 부담금으로 납부하고, 이에 의하여 적립되는 금액과 운용수익으로 은퇴 이후의 연금을 지급받는 방법"
248,적립수준비율,장래 가입자에게 지급하여야 할 연금부채에 대한 연금자산의 적립 정도
249,전환사채,사채로서 발행되었지만 일정기간 경과 후 소유자의 청구에 의하여 주식으로 전환할 수 있는 사채
250,정년연령,기업의 정년연령
251,정률상각,과거근무채무에 15/100 이상 범위에서 정한 일정비율을 곱하여 납입하는 방법
252,정상부담금(NC:Normal Cost),확정급여형 퇴직연금에 있어서 전 근로자에 대해 퇴직연금 가입시부터 퇴직시까지의 향후 기간에 해당하는 퇴직연금 재원을 위해 납입하는 금액
253,정상퇴직연령,가입자에게 연금급여 수령 자격이 주어지는 연령
254,정액,가입연령방식의 계산방식의 하나로 정액을 퇴직급부로 하여 산정하는 방식
255,제도 변경,퇴직금제도에서 퇴직연금제도로 제도 변경 또는 퇴직연금제도에서 변경 하는 것
256,제도이환,"가입자의 퇴직, 전직, 운용관리기관 변경 등의 사유로 인하여 연금제도가 변경되어 가입자 자산 및 가입이력 등을 타 퇴직연금사업자에게 이전하는 것"
257,종신연금,"지급기간별로 구분하는 경우의 한가지 방식으로 연금지급 기간이 한정되어 있지 않고 수급권자가 생존하는 한 계속 지급되는 연금. 다만, 연금 보증지급기간을 설정하는데 연금 보증지급기간에는 수급권자가 사망하더라도 수급권자에 의해 지정되어진 사람에게 보증지급기간 동안에는 지급이 됨"
258,종업원 명부(가입자 명부),"성명, 주민등록번호, 입사연월일, 기준급여, 퇴직금 추계액을 기록한 명부로 인원분포표 및 임금 분포표 산출시, 예정퇴직율 산출시 사용됨"
259,주식형펀드,주식 및 주식관련 파생상품에 주로 투자하여 운용하는 펀드(최소 주식편입비율이 60%를 상회)
260,주택저당증권(MBS),"일반고객이 은행에서 주택담보대출을 받을 때 주택에 대한 근저당을 설정하게 되는데 은행의 입장에서 보면 주택을 담보로 대출금을 회수할 권리, 즉 대출채권을 가지게 되며 이를 주택저당채권이라고 한다. 이 주택저당채권을 기초로 하여 발행하는 증권이 주택저당증권임"
261,중간정산일,"종업원이 실제 퇴직하기 전에 퇴직금을 중간 정산할 경우 정산하는 날짜를 말함. 종업원은 입사일자로부터 중간정산일자까지 퇴직금을 수령하게 됨.(중간정산 이후의 퇴직금은 중간정산일자 이후부터 계산하여 산출하게 됨. 즉, 중간정산을 한 근로자는 실제 입사일이 아닌 중간정산 익일이 새로운 기산일이 됨)"
262,중도인출,"근로자가 목돈이 필요한 경우 법정사유를 충족하면 적립금 중 일부를 미리 인출하는 제도. 확정기여형(DC)제도 및 개인퇴직계좌(IRA)에서 허용되며, 중도인출이 가능한 법적 사유에는 무주택 근로자의 주택구입, 근로자 또는 그 가족의 6개월 이상의 요양 및 천재지변 등이 있음"
263,지급퇴직금,퇴직자를 예측하여 예상 퇴직자의 급여에 해당하는 지급률을 곱하여 산출 한 금액
264,지급형태,"지급형태는 크게 일시금과 연금 지급이 있음. 일시금 : 현행 퇴직금 지급규정과 동일하게 일시금을 수령하는 방식. 연금 : 과세를 이연하였다가 55세 이후에 5년 이상에 걸쳐 연금으로 받는 방식. 확정연금 : 확정기간 동안 생사에 관계없이 연금을 일정하게 수령하는 방식, 확정부종신 : 확정된 기간 동안은 생사에 관계없이 지급하고 그 이후 기간은 살아 있으면 주는 연금제도 "
265,지방채,지방자치단체에서 발행하는 채권
266,진단(Projection),"부담금산출(시산)을 한 이후 기업의 재무, 세무, 계리 등 여러 가지 측면에서 미래에 어떠한 변화가 발생하는지 예측하여 대책수립을 위한 행위"
267,질권,채권자가 채권의 담보로서 채무자 또는 제3자(물상보증인)로부터 받은 담보물권
268,참조승급률 (Reference salary scale),"예정승급률의 종류로서 해당 기업의 승급률 산출을 위한 기초통계량이 부족할 경우, 경험승급률을 산출하지 아니하고 적용하는 보험개발원에서 산출한 공통의 승급율. 근로자 300인 미만 기업에 적용"
269,채권형펀드,주식에는 전혀 투자하지 않고 채권 및 채권관련 파생상품에 주로 투자하여 상대적으로 안정적인 수익을 추구하는 펀드
270,책임준비금,당해 사업 연도의 말일에 있어 급여에 소요되는 비용액의 예상액의 현가(현 적립해야 할 금액)으로 부터 부담금 수입액의 예상액 현가(예금자산)를 공제한 금액
271,청산,제도의 청산으로 인한 퇴직급여채무(PBO)의 감소금액
272,초고령사회,전체인구중 65세이상 노인층 인구비율이 20%이상인 사회
273,총 급여,승급률 산출대상이 되는 표준연령에 해당하는 종업원의 급여를 총 합계한 금액
274,최소제곱법(=최소자승법) ,"승급률에서 최소제곱법(=최소자승법) Y = ax + b라는 1차회귀식에서 a,b값을 구하여 연령별로 적용하는 방식"
275,최저적립률,평균근속년수에 따른 노동부의 규정에 따라 계산
276,최저적립금,계속기준부채와 비계속기준부채(퇴직금추계액)중 큰 금액에 최저적립률을 곱한 금액
277,최종평균소득,확정급여형에서 연금급여를 산출하기 위해 사용되는 가입자의 소득 (퇴직 직전 마지막 일정기간의 소득을 주로 사용)
278,추가형,해당년도가 되면 추가로 퇴직금 지급률에 더하는 규정
279,축소,제도의 축소로 인한 퇴직급여채무(PBO)의 감소금액
280,충당금설정비율,사외 적립된 비율을 제외하고 내부에 퇴직급여충당금을 설정한 비율
281,취업규칙,"사용자가 사업장에 있어서 근로자가 준수하여야 할 규율과 임금 ·근로시간, 기타 근로조건에 관한 구체적 사항을 정한 규칙"
282,탄력상각,균등상각 방법으로 계산된 금액(보충부담금 하한)과 과거근무채무총액(보충부담금 상한) 범위에서 매년 상각액을 탄력적으로 적용하는 방법
283,탈퇴일시금,퇴직연금제도에서 탈퇴시 지급하는 일시금
284,통산(通算),근로자가 이직시 전직장의 퇴직급여와 이직직장의 퇴직급여를 통합하여 계산하는 것
285,통화안정증권,중앙은행이 공개시장조작을 통해 통화공급을 조정·안정시키기 위하여 발행하는 통화성 특별유통증권
286,퇴직 안전율,퇴직안전율은 퇴직률의 높낮이 조정 할 수 있는 율로 산출 시80%~120%를 사용
287,퇴직금,근로자가 상당기간을 근속하고 퇴직하는 경우 근로관계의 종료를 사유로 하여 사용자가 지급하는 일시지급금 
288,퇴직금401K 제도,미국에서 회사가 직원에게 제공하는 직장 연금제도. 미국의 내국세입법(IRC) 401조 K항에 규정된 확정각출형(Defined Contribution Plan) 기업연금 제도의 일종으로서 직원들이 매월 본인이 정한 일정 금액을 401k제도에서 인정하는 금융상품에 투자하면 기업에서 불입금액을 지원하고 정부는 소득세를 유예해 줌
289,퇴직금우선변제,"퇴직금은 사용자의 총재산에 대해 질권 또는 저당권에 의하여 담보된 채권을 제외하고는 조세·공과금 및 다른 채권에 우선하여 변제되어야 한다는 것을 의미. 다만, 질권 또는 저당권에 우선하는 조세·공과금에 대해서는 예외"
290,퇴직금제도,기업이 1년 이상 근로한 근로자에게 매년 30일분의 평균임금을 퇴직금으로 퇴직하는 근로자에게 지급하는 제도
291,퇴직금중간정산제도,"사용자는 근로자의 요구가 있는 경우, 근로자가 퇴직하기 전에 당해 근로자가 계속 근로한 기간에 대한 퇴직금을 미리 정산하여 지급할 수 있으며, 이를 퇴직금중산정산이라 함"
292,퇴직금지급액,근로자의 퇴직으로 인해 퇴직금으로 지급한 지급금액
293,퇴직금지급조건,가입비율 퇴직자 발생시 퇴직금지급금액을 퇴직연금사업자에게 가입한 비율만큼 지급하는 방식 (100%가입 시 퇴직금전액을 지급) 적립비율 퇴직자 발생시 퇴직금지급금액을 퇴직연금사업자가 적립된 비율만큼 지급하는 방식(퇴직금* 적립비율)
294,퇴직금추계액,"각 사업년도 종료일에 있어서 재직하는 근로자 전원이 사업년도 종료일에 퇴직하는 것으로 가정하였을 때 당해 기업의 현 취업규칙상에 정해진 퇴직급여 규정에 의거, 근로자에게 지급하여야 할 퇴직급여의 총 합계금액. 임직원 퇴직 시 예상되는 퇴직금 = 급여 * 과거근속기간에 해당하는 지급률"
295,퇴직급여,퇴직급여제도에 의해 근로자에게 지급되는 연금 또는 일시금
296,퇴직급여제도,"확정급여형(DB)퇴직연금제도, 확정기여형(DC)퇴직연금제도 및 (일반)퇴직금제도를 통칭"
297,퇴직급여충당금,종업원이 퇴직할 때 지급할 퇴직금의 지급을 위한 충당금
298,퇴직보험,퇴직보험은 기업이 지급할 퇴직금을 사전에 적립하여 둠으로써 회사는 적립금에 대한 절세 혜택을 받고 근로자는 퇴직시 퇴직금을 일시금 또는 일정기간 동안 연금으로 지급받는 보험
299,퇴직보험(신탁)예치금,퇴직금제도 중에 사외예치기관인 은행 보험 등에 퇴직보험 또는 퇴직신탁으로 적립된 금액
300,퇴직신탁,"금전신탁의 일종으로, 기업 등으로부터 갹출된 기금을 관리 ·운용하여 종업원들에게 연금급부를 시행하는 신탁"
301,퇴직연금사업자,"은행, 보험회사, 증권회사, 자산운용회사, 기타신탁업인가를 받은 자 등으로서 재무건정성, 인적요건, 물적요건 등을 갖추어서 금융감독위윈회에 등록된 사업자"
302,퇴직연금제도,기업이 임직원의 노후소득을 보장하기 위해 재직 중에 퇴직금 재원을 별도의 금융기관에 적립하고 근로자가 퇴직할 때 일시금 또는 연금형태로 지급하는 기업복지제도. 확정급여형과 확정기여형 퇴직연금제도가 있음
303,퇴직연금컨설팅,"퇴직연금과 관련된 기업의 재정상태, 인사정책, 노사여건 등을 동시에 고려하여 적합한 제도 및 적립금 운용대안을 제시하며 그 실행과 운영을 지원하는 것"
304,퇴직자 명부,"성명, 주민등록번호, 입사연월일, 퇴직연월일, 퇴직사유, 기준임금 등을 기록한 최근 3년간 퇴직자 명부. 예정 퇴직율 산출시 사용"
305,투자수익률,퇴직연금에 납입한 부담금을 장기예측 시에 이자를 감안하기 위해 사용 되는 율
306,투자회사,회사의 재산을 자산에 운용하여 그 수익을 주주에게 배분하는 것을 목적으로 설립된 상법에 의한 주식회사인 간접투자기구
307,특별계정,가입자를 대신하여 펀드를 관리하는 사용자나 기관으로부터 법적으로 분리된 연금펀드
308,특별부담금,재정건전성 확보를 위해 현재의 적립수준이 최소적립금 수준에 미달되는 경우 이를 충당하기 위해 계산되는 부담금. 연금자산이 최소적립비율에 미치지 못할 경우 납입하는 금액 
309,특정금전신탁,금융기관이 고객으로부터 예탁받은 자금을 고객이 지정한 운용방법·조건에 따라 운용한 후 운용 수익을 배당하는 신탁
310,특정연령방식,"제도에 가입하는 표준적인 연령(특정연령)의 표준부담금을 산출하여 모든 근로자에게 일률적으로 적용하고, 근로자 별 부담금의 과부족은 과거근무채무로 하여 보충부담금으로 처리하는 재정방식"
311,파산,채무자가 경제적으로 파탄상태에 빠졌을 때 그 총재산으로 총채권자에게 공평한 만족을 주는 재판상 절차.
312,펀드(fund),"다수의 고객으로부터 자금을 모아서 대규모의 공동기금을 형성하여 전문적인 운용기관이 주식,채권 등에 투자하고 그에 따른 성과를 고객에게 분배하는 간접투자상품"
313,평균 근속년수 정산 전,입사일자부터 산출기준일까지의 재직자의 평균근속년수
314,평균 근속년수 정산 후,중간정산일자부터 산출기준일까지의 재직자 평균근속년수
315,평균급여,승급률 산출대상이 되는 표준연령에 해당하는 종업원의 평균급여를 계산한 금액
316,평균승급률,어떤 정해진 연령의 평균승급률 : 정해진 연령부터 정년까지의 평균승급률을 말함
317,평균이동법,5점평균이동법을 적용하여 산출하는 방식(주식의 5일 이동평균선과 동일한 방식)
318,평균임금,"퇴직 등 사유가 발생한 날 이전 3개월 간 근로자에게 지급된 임금총액을 그 기간의 총 일수로 나눈 금액. 다만 이렇게 산출된 금액이 당해 근로자의 통상임금보다 낮은 경우, 통상임금을 평균임금으로 함"
319,평균자산잔고,매월 연금자산의 총합계를 12로 나눈 값
320,평균잔존년수,근로자가 향후 얼마의 기간을 더 근무하고 퇴직 할 것인지를 예측한 근무년수를 전체 평균한 값
321,포트폴리오(portfolio),주식투자에서 위험을 줄이고 투자수익을 극대화하기 위한 일환으로 여러 종목에 분산 투자하는 방법
322,표준부담금(NC),장래 근무기간 분에 해당하는 급여 지급을 위하여 계산되는 부담금으로 퇴직연금제도에 가입하게 되는 경우 연금계리방식에 의해 산출한 값 중 미래 1년 근무 분에 해당하는 부담금을 산출한 금액 (Normal Cost) 국제회계기준의 당기근무원가에 해당하는 금액. 율 ->산출방법 = 표준부담금액 / 급여총합계
323,표준승급률,"국내의 전체 근로자를 대상으로 미리 산출 된 율로 보험개발원 또는 노동부율을 적용하며 300인 미만의 기업, 신설기업에 적용"
324,표준퇴직률,"국내의 전체 근로자를 대상으로 미리 산출 된 율로 보험개발원 또는 노동부율을 적용하며 300인 미만 의 기업, 신설기업에 적용 (남녀별도 적용률)"
325,플랜(plan),"기업이 퇴직연금사업자와 맺은 퇴직연금규약으로서 기업은 동시에 여러 개의 플랜을 보유할 수 있음 (예. 00전자 DC 1호 플랜, 00전자 DC 2호 플랜)"
326,학자금대출증권,한국주택금융공사가 보증하여 대출하는 은행대출금 지급을 위해 발행하는 증권 
327,할당방식,근속년수비례 : 지급률과는 관계없이 근속기간에 비례하여 적립 ->미래에 적립하여도 되는 PBO를 미리 평균적으로 적립하는 결과 초래. 지급률비례: 퇴직금지급률이 누진제인 경우 근무기간에 해당하는 지급률 비례로 보충부담금을 할당하는 방식
328,합산기산,누진제를 적용하는 기업으로 중간정산 이후 근속년수를 전체기간에서 공제한 율을 지급률로 결정
329,"해산 [解散,Winding-Up] ",지급해야할 모든 연금급여를 완전히 지급하거나 다른 연금기구에 모든 자산과 부채를 이전함으로써 연금기구를 종결하는 것 
330,해약,도산 또는 기타사유로 인하여 기업이 퇴직연금제도를 유지할 수 없을 경우 퇴직연금계약을 해지하는 것
331,혼합형,"개인이 확정급여형, 확정기여형에 동시가입을 허용하는 제도 (예) DB : DC = 60 : 40"
